제품범주2,플랜트,제조일자,중분류(보정),count
스팸일반,진천)육가공,2022-12-17,포장불량,1
스팸일반,진천)육가공,2022-12-17,합성수지류,1
스팸일반,진천)육가공,2022-12-17,포장불량,1
B2C 스팸단품,진천)육가공,2022-12-17,포장불량,1
비비고 한식반찬,진천BC,2022-12-17,인체이물류,1
B2B패티류,진천BC,2022-12-17,동물성이물,1
비비고 한식반찬,진천BC,2022-12-17,합성수지류,1
군만두,남원공장,2022-12-18,동물성이물,1
비비고 왕교자,인천냉동식품,2022-12-18,식물성이물,1
비비고 왕교자,인천냉동식품,2022-12-18,공정이물류,1
백미,진천BC,2022-12-18,변색,1
백미,진천BC,2022-12-18,기타변질,1
핫도그,C&S (제당),2022-12-19,기타,1
된장가정용,공주공장,2022-12-19,기타,1
남원B2C냉동면,남원공장,2022-12-19,합성수지류,1
수입콩두부,동화식품,2022-12-19,인체이물류,1
과일젤리,뚜또,2022-12-19,인체이물류,1
치킨,상신(2공장),2022-12-19,인체이물류,1
햇반 성형밥(OEM),엄지식품_성형밥,2022-12-19,인체이물류,1
카놀라유,인천2)유,2022-12-19,포장불량,1
스팸일반,진천)육가공,2022-12-19,합성수지류,1
스팸일반,진천)육가공,2022-12-19,동물성이물,1
B2C 스팸단품,진천)육가공,2022-12-19,합성수지류,1
백미,진천BC,2022-12-19,기타,1
백미,부산공장,2022-12-20,인체이물류,1
국판조미김,삼해상사(부안1),2022-12-20,합성수지류,1
프리미엄 국물,성보(HMR),2022-12-20,인체이물류,1
비비고 왕교자,인천냉동식품,2022-12-20,식물성이물,1
미트편의식,진천)육가공,2022-12-20,공정이물류,1
중식프라잉,진천BC,2022-12-20,공정이물류,1
백미,진천BC,2022-12-20,기타이물류,1
고메피자(OEM),피자코리아,2022-12-20,동물성이물,1
요리유,ABRIL,2022-12-21,포장불량,1
요리유,ABRIL,2022-12-21,포장불량,1
요리유,ABRIL,2022-12-21,편의,1
요리유,ABRIL,2022-12-21,편의,1
쌈장가정용,공주공장,2022-12-21,동물성이물,1
한식양념장,논산1공장,2022-12-21,식물성이물,1
과일젤리,뚜또,2022-12-21,식물성이물,1
과일젤리,뚜또,2022-12-21,식물성이물,1
삼호부산,씨푸드_성남,2022-12-21,인체이물류,1
국판조미김,씨푸드_이천,2022-12-21,벌레류,1
비비고 수제만두,인천냉동식품,2022-12-21,합성수지류,1
비비고 수제만두,인천냉동식품,2022-12-21,식물성이물,1
비비고 수제만두,인천냉동식품,2022-12-21,동물성이물,1
더건강한 닭가슴살,진천)육가공,2022-12-21,동물성이물,1
B2B 후랑크,진천)육가공,2022-12-21,공정이물류,1
슬라이스,진천)육가공,2022-12-21,합성수지류,1
스팸일반,진천)육가공,2022-12-21,인체이물류,1
스팸일반,진천)육가공,2022-12-21,포장불량,1
백미,진천BC,2022-12-21,인체이물류,1
일반 한식반찬,진천BC,2022-12-21,동물성이물,1
비비고 수제만두,푸드웨어,2022-12-21,식물성이물,1
된장가정용,공주공장,2022-12-22,기타이물류,1
우동,남원공장,2022-12-22,인체이물류,1
컵반 기타,부산공장,2022-12-22,식물성이물,1
프리미엄덮밥,부산공장,2022-12-22,동물성이물,1
진한참기름,인천2)유,2022-12-22,포장불량,1
비비고 왕교자,인천냉동식품,2022-12-22,형태,1
비비고 왕교자,인천냉동식품,2022-12-22,기타이물류,1
비비고 왕교자,인천냉동식품,2022-12-22,동물성이물,1
비비고 수제만두,인천냉동식품,2022-12-22,식물성이물,1
B2B 스팸,진천)육가공,2022-12-22,공정이물류,1
스팸일반,진천)육가공,2022-12-22,공정이물류,1
B2C 스팸단품,진천)육가공,2022-12-22,공정이물류,1
비엔나,진천BC,2022-12-22,합성수지류,1
비엔나,진천BC,2022-12-22,인체이물류,1
치킨,진천BC,2022-12-22,공정이물류,1
백미,진천BC,2022-12-22,인체이물류,1
고메피자(클래식),진천BC,2022-12-22,인체이물류,1
용기 죽,진천BC,2022-12-22,인체이물류,1
비비고 한식반찬,진천BC,2022-12-22,동물성이물,1
백미,진천BC,2022-12-22,합성수지류,1
백미,부산공장,2022-12-23,합성수지류,1
잡곡,부산공장,2022-12-23,인체이물류,1
국판삼해김,삼해상사(김포),2022-12-23,포장불량,1
까스류,상신(2공장),2022-12-23,동물성이물,1
B2B물만두,엄지식품,2022-12-23,합성수지류,1
수입콩두부,진천)두부,2022-12-23,기타이물류,1
후랑크,진천BC,2022-12-23,형태,1
까스류,진천BC,2022-12-23,공정이물류,1
가정용다담,논산1공장,2022-12-24,포장불량,1
백미,부산공장,2022-12-24,기타,1
삼호안심부산,씨푸드_성남,2022-12-24,공정이물류,1
비비고 수제만두,인천냉동식품,2022-12-24,인체이물류,1
B2B 조리육(OEM),진천B2B생산,2022-12-24,합성수지류,1
더건강한 닭가슴살,진천)육가공,2022-12-24,동물성이물,1
백미,진천BC,2022-12-24,기타이물류,1
백미,진천BC,2022-12-24,기타,1
비비고 한식반찬,진천BC,2022-12-24,기타이물류,1
용기면,남원공장,2022-12-25,합성수지류,1
백미,부산공장,2022-12-25,인체이물류,1
프리미엄덮밥,부산공장,2022-12-25,기타이물류,1
프리미엄덮밥,부산공장,2022-12-25,식물성이물,1
미니소시지,신라에스지,2022-12-25,기타,1
FV _ OEM,진천B2B생산,2022-12-25,식물성이물,1
B2B Tray One Meal,진천B2B생산,2022-12-25,포장불량,1
백미,진천BC,2022-12-25,식물성이물,1
백미,진천BC,2022-12-25,인체이물류,1
과일젤리,뚜또,2022-12-26,공정이물류,1
파우치 죽(일반),부산공장,2022-12-26,합성수지류,1
국판삼해김,삼해상사(김포),2022-12-26,포장불량,1
삼호어묵,씨푸드_성남,2022-12-26,일부인오류,1
삼호어묵,씨푸드_성남,2022-12-26,일부인오류,1
삼호어묵,씨푸드_성남,2022-12-26,일부인오류,1
프리미엄 국물,진천B2B생산,2022-12-26,기타이물류,1
스팸일반,진천)육가공,2022-12-26,공정이물류,1
치킨,진천BC,2022-12-26,동물성이물,1
육공육 후랑크,진천BC,2022-12-26,합성수지류,1
중식프라잉,진천BC,2022-12-26,포장불량,1
백미,진천BC,2022-12-26,인체이물류,1
백미,진천BC,2022-12-26,공정이물류,1
일반 국물,교동(HMR)_1공장,2022-12-27,합성수지류,1
군만두,남원공장,2022-12-27,동물성이물,1
일반 한식반찬,상신(1공장),2022-12-27,동물성이물,1
비비고 왕교자,인천냉동식품,2022-12-27,인체이물류,1
비비고 왕교자,인천냉동식품,2022-12-27,인체이물류,1
비엔나,진천BC,2022-12-27,공정이물류,1
백미,진천BC,2022-12-27,합성수지류,1
중식프라잉,진천BC,2022-12-27,포장불량,1
백미,진천BC,2022-12-27,곰팡이,1
중식프라잉,진천BC,2022-12-27,포장불량,1
일반 한식반찬,진천BC,2022-12-27,인체이물류,1
된장가정용,공주공장,2022-12-28,합성수지류,1
초고추장가정용,논산1공장,2022-12-28,합성수지류,1
비비고별미김치,동방푸드마스타(김치),2022-12-28,식물성이물,1
백미,부산공장,2022-12-28,공정이물류,1
B2B비비고만두,인천냉동식품,2022-12-28,합성수지류,1
비비고 수제만두,인천냉동식품,2022-12-28,동물성이물,1
비비고 수제만두,인천냉동식품,2022-12-28,기타이물류,1
스팸일반,진천)육가공,2022-12-28,공정이물류,1
스팸일반,진천)육가공,2022-12-28,동물성이물,1
비비고썰은김치,진천BC,2022-12-28,합성수지류,1
PSPS,진천BC,2022-12-28,기타이물류,1
PSPS,진천BC,2022-12-28,동물성이물,1
PSPS,진천BC,2022-12-28,동물성이물,1
용기 죽,진천BC,2022-12-28,합성수지류,1
된장가정용,공주공장,2022-12-29,기타이물류,1
우동,남원공장,2022-12-29,합성수지류,1
과일젤리,뚜또,2022-12-29,포장불량,1
BIG컵반(컵),부산공장,2022-12-29,인체이물류,1
국판삼해김,삼해상사(김포),2022-12-29,합성수지류,1
고급밀가루,양산공장,2022-12-29,기타이물류,1
비비고 수제만두,인천냉동식품,2022-12-29,식물성이물,1
비비고 왕교자,인천냉동식품,2022-12-29,기타이물류,1
비비고 왕교자,인천냉동식품,2022-12-29,기타이물류,1
꼬지형,진천)육가공,2022-12-29,합성수지류,1
B2B 스팸,진천)육가공,2022-12-29,공정이물류,1
스팸일반,진천)육가공,2022-12-29,기타이물류,1
B2C 스팸단품,진천)육가공,2022-12-29,포장불량,1
중식프라잉,진천BC,2022-12-29,포장불량,1
더건강한 닭가슴살,진천BC,2022-12-29,동물성이물,1
백미,진천BC,2022-12-29,기타,1
백미,진천BC,2022-12-29,포장불량,1
백미,진천BC,2022-12-29,공정이물류,1
일반 국물,참프레(HMR),2022-12-29,합성수지류,1
손만두,푸드웨어,2022-12-29,합성수지류,1
가정용다담,논산1공장,2022-12-30,관능,1
하선정절임류,두메,2022-12-30,기타이물류,1
BIG컵반(컵),부산공장,2022-12-30,합성수지류,1
국판조미김,삼해상사(부안1),2022-12-30,인체이물류,1
까스류,상신(2공장),2022-12-30,인체이물류,1
혼합소시지,신라에스지,2022-12-30,기타이물류,1
냉장 생선구이,씨푸드_성남,2022-12-30,동물성이물,1
비비고 왕교자,인천냉동식품,2022-12-30,합성수지류,1
비비고 왕교자,인천냉동식품,2022-12-30,기타이물류,1
비비고 왕교자,인천냉동식품,2022-12-30,동물성이물,1
비비고 왕교자,인천냉동식품,2022-12-30,기타이물류,1
슬라이스,진천)육가공,2022-12-30,동물성이물,1
후랑크,진천)육가공,2022-12-30,공정이물류,1
김밥햄,진천)육가공,2022-12-30,포장불량,1
미트편의식,진천)육가공,2022-12-30,동물성이물,1
스팸일반,진천)육가공,2022-12-30,동물성이물,1
비비고 한식반찬,진천BC,2022-12-30,동물성이물,1
비비고 한식반찬,진천BC,2022-12-30,인체이물류,1
백미,진천BC,2022-12-30,공정이물류,1
비비고 한식반찬,진천BC,2022-12-30,동물성이물,1
사각햄,진천BC,2022-12-30,기타이물류,1
B2B비비고,진천BC,2022-12-30,동물성이물,1
물만두,푸드웨어,2022-12-30,동물성이물,1
비비고별미김치,한국농협김치_화성,2022-12-30,합성수지류,1
당면,사수리풍,2022-12-31,공정이물류,1
비비고 왕교자,인천냉동식품,2023-01-01,공정이물류,1
삼호부산,씨푸드_성남,2023-01-02,공정이물류,1
비비고 왕교자,인천냉동식품,2023-01-02,중량수량미달,1
미트편의식,진천)육가공,2023-01-02,기타이물류,1
성형햄,진천)육가공,2023-01-02,포장불량,1
스팸일반,진천)육가공,2023-01-02,공정이물류,1
B2C 스팸단품,진천)육가공,2023-01-02,공정이물류,1
비엔나,진천BC,2023-01-02,동물성이물,1
더건강한 닭가슴살,진천BC,2023-01-02,동물성이물,1
비엔나,진천BC,2023-01-02,동물성이물,1
비비고 한식반찬,진천BC,2023-01-02,동물성이물,1
비비고 한식반찬,진천BC,2023-01-02,동물성이물,1
백미,진천BC,2023-01-02,성분,1
B2B물만두,푸드웨어,2023-01-02,동물성이물,1
파우치 죽(프리미엄),부산공장,2023-01-03,기타이물류,1
비비고 왕교자,인천냉동식품,2023-01-03,인체이물류,1
FV _ OEM,진천B2B생산,2023-01-03,동물성이물,1
후랑크,진천)육가공,2023-01-03,인체이물류,1
스팸일반,진천)육가공,2023-01-03,합성수지류,1
스팸일반,진천)육가공,2023-01-03,공정이물류,1
스팸일반,진천)육가공,2023-01-03,동물성이물,1
비비고 한식반찬,진천BC,2023-01-03,동물성이물,1
까스류,진천BC,2023-01-03,식물성이물,1
일반 국물,논산1공장,2023-01-04,기타이물류,1
된장가정용,논산1공장,2023-01-04,식물성이물,1
백미,부산공장,2023-01-04,인체이물류,1
삼호부산,씨푸드_성남,2023-01-04,공정이물류,1
핫도그,우양냉동(장항),2023-01-04,합성수지류,1
비비고 왕교자,인천냉동식품,2023-01-04,기타이물류,1
스팸일반,진천)육가공,2023-01-04,공정이물류,1
스팸일반,진천)육가공,2023-01-04,공정이물류,1
스팸일반,진천)육가공,2023-01-04,합성수지류,1
스팸일반,진천)육가공,2023-01-04,동물성이물,1
스팸일반,진천)육가공,2023-01-04,합성수지류,1
B2B고메(반찬류),진천BC,2023-01-04,동물성이물,1
삼호부산,씨푸드_성남,2023-01-05,기타이물류,1
고소함가득참기름,인천2)유,2023-01-05,포장불량,1
비비고 한식반찬,인천냉동식품,2023-01-05,기타이물류,1
비비고 왕교자,인천냉동식품,2023-01-05,공정이물류,1
베이컨,진천)육가공,2023-01-05,관능,1
스팸OOC,진천)육가공,2023-01-05,공정이물류,1
B2C 스팸단품,진천)육가공,2023-01-05,공정이물류,1
B2C 스팸단품,진천)육가공,2023-01-05,인체이물류,1
B2C 스팸단품,진천)육가공,2023-01-05,포장불량,1
더건강한 닭가슴살,진천BC,2023-01-05,동물성이물,1
비비고썰은김치,진천BC,2023-01-05,인체이물류,1
까스류,진천BC,2023-01-05,동물성이물,1
B2B패티류,진천BC,2023-01-05,합성수지류,1
더건강한 닭가슴살,진천BC,2023-01-05,동물성이물,1
B2B패티류,진천BC,2023-01-05,동물성이물,1
양식반찬,진천BC,2023-01-05,포장불량,1
양식반찬,진천BC,2023-01-05,동물성이물,1
파우치 죽(일반),진천BC,2023-01-05,인체이물류,1
파우치 죽(일반),진천BC,2023-01-05,포장불량,1
B2B패티류,진천BC,2023-01-05,동물성이물,1
백미,진천BC,2023-01-05,공정이물류,1
꼬지형,하이푸드텍,2023-01-05,식물성이물,1
잡곡,부산공장,2023-01-06,기타이물류,1
일반국밥,부산공장,2023-01-06,동물성이물,1
국판삼해김,삼해상사(김포),2023-01-06,중량수량미달,1
국판삼해김,삼해상사(김포),2023-01-06,기타이물류,1
치킨,상신(2공장),2023-01-06,공정이물류,1
치킨,상신(2공장),2023-01-06,공정이물류,1
천일염,신의도천일염,2023-01-06,인체이물류,1
핫도그,우양냉동(장항),2023-01-06,공정이물류,1
올리고당 소물,인천1)당,2023-01-06,편의,1
비비고 왕교자,인천냉동식품,2023-01-06,동물성이물,1
수입콩두부,진천)두부,2023-01-06,합성수지류,1
B2C 스팸단품,진천)육가공,2023-01-06,포장불량,1
사각햄,진천BC,2023-01-06,동물성이물,1
백미,진천BC,2023-01-06,공정이물류,1
B2B패티류,진천BC,2023-01-06,동물성이물,1
FV _ OEM,진천B2B생산,2023-01-07,인체이물류,1
프리미엄 국물,진천B2B생산,2023-01-07,포장오류,1
B2B고메(반찬류),진천BC,2023-01-07,공정이물류,1
백미,진천BC,2023-01-07,합성수지류,1
B2B고메(반찬류),진천BC,2023-01-07,기타이물류,1
비비고 한식반찬,진천BC,2023-01-07,동물성이물,1
비비고 한식반찬,진천BC,2023-01-07,기타이물류,1
우동,남원공장,2023-01-08,식물성이물,1
BIG컵반(컵),부산공장,2023-01-08,미생물,1
비비고 한식반찬,진천BC,2023-01-08,인체이물류,1
치킨,진천BC,2023-01-08,동물성이물,1
B2B완자류,진천BC,2023-01-08,합성수지류,1
고추장가정용,논산1공장,2023-01-09,포장불량,1
수입콩두부,맑은동해,2023-01-09,인체이물류,1
저탄수,부산공장,2023-01-09,합성수지류,1
B2B 조리육(OEM),소디프,2023-01-09,동물성이물,1
국판당 대물,인천1)당,2023-01-09,기타이물류,1
베이컨,진천)육가공,2023-01-09,동물성이물,1
스팸일반,진천)육가공,2023-01-09,기타이물류,1
중식프라잉,진천BC,2023-01-09,포장불량,1
중식프라잉,진천BC,2023-01-09,포장불량,1
PSPS,진천BC,2023-01-09,동물성이물,1
핫도그,C&S (제당),2023-01-10,기타이물류,1
더비비고 국물요리,논산1공장,2023-01-10,인체이물류,1
밥이랑,동방푸드마스타(밥이랑),2023-01-10,중량수량미달,1
하선정절임류,두메,2023-01-10,성분,1
프리미엄덮밥,부산공장,2023-01-10,동물성이물,1
삼호부산,씨푸드_성남,2023-01-10,공정이물류,1
핫도그,우양냉동(장항),2023-01-10,합성수지류,1
비비고 왕교자,인천냉동식품,2023-01-10,공정이물류,1
비비고 왕교자,인천냉동식품,2023-01-10,기타이물류,1
B2B샐러드무스,진천B2B생산,2023-01-10,포장불량,1
슬라이스,진천)육가공,2023-01-10,합성수지류,1
육공육 슬라이스,진천)육가공,2023-01-10,동물성이물,1
스팸OOC,진천)육가공,2023-01-10,공정이물류,1
고메피자(프리미엄),진천BC,2023-01-10,기타이물류,1
더건강한 닭가슴살,진천BC,2023-01-10,동물성이물,1
더건강한 닭가슴살,진천BC,2023-01-10,합성수지류,1
백미,진천BC,2023-01-10,기타이물류,1
백미,진천BC,2023-01-10,곰팡이,1
비비고 한식반찬,진천BC,2023-01-10,동물성이물,1
일반 한식반찬,C&S (제당),2023-01-11,동물성이물,1
프리미엄 국물,논산1공장,2023-01-11,합성수지류,1
고추장가정용,논산1공장,2023-01-11,포장불량,1
국판삼해김,삼해상사(김포),2023-01-11,중량수량미달,1
국판조미김,삼해상사(부안1),2023-01-11,기타이물류,1
삼호어묵,씨푸드_성남,2023-01-11,인체이물류,1
튀김부침용,영등포공장,2023-01-11,기타이물류,1
핫도그,우양냉동(장항),2023-01-11,인체이물류,1
비비고 왕교자,인천냉동식품,2023-01-11,형태,1
비비고 수제만두,인천냉동식품,2023-01-11,합성수지류,1
스팸일반,진천)육가공,2023-01-11,공정이물류,1
B2C 스팸단품,진천)육가공,2023-01-11,포장불량,1
비엔나,진천BC,2023-01-11,동물성이물,1
후랑크,진천BC,2023-01-11,동물성이물,1
B2B비비고,진천BC,2023-01-11,동물성이물,1
후랑크,진천BC,2023-01-11,기타이물류,1
비비고 한식반찬,진천BC,2023-01-11,동물성이물,1
중식프라잉,진천BC,2023-01-11,합성수지류,1
중식프라잉,진천BC,2023-01-11,동물성이물,1
고메피자(프리미엄),진천BC,2023-01-11,합성수지류,1
중식프라잉,진천BC,2023-01-11,기타,1
손만두,푸드웨어,2023-01-11,합성수지류,1
잡곡,부산공장,2023-01-12,공정이물류,1
국판조미김,삼해상사(부안1),2023-01-12,합성수지류,1
까스류,상신(2공장),2023-01-12,합성수지류,1
베이커리,우양냉동(청양_냉동),2023-01-12,합성수지류,1
베이커리,우양냉동(청양_냉동),2023-01-12,합성수지류,1
비비고 수제만두,인천냉동식품,2023-01-12,인체이물류,1
비비고 왕교자,인천냉동식품,2023-01-12,식물성이물,1
비비고 수제만두,인천냉동식품,2023-01-12,형태,1
비비고 왕교자,인천냉동식품,2023-01-12,합성수지류,1
스팸일반,진천)육가공,2023-01-12,합성수지류,1
더건강한 닭가슴살,진천BC,2023-01-12,동물성이물,1
더건강한 닭가슴살,진천BC,2023-01-12,동물성이물,1
비비고 수제만두,푸드웨어,2023-01-12,인체이물류,1
비비고별미김치,한국농협김치_북파주,2023-01-12,인체이물류,1
파스타,Granoro 社,2023-01-13,기타이물류,1
된장업소용,공주공장,2023-01-13,기타이물류,1
남원B2C냉동면,남원공장,2023-01-13,동물성이물,1
고추장업소용,논산1공장,2023-01-13,기타이물류,1
과일젤리,뚜또,2023-01-13,포장불량,1
백미,부산공장,2023-01-13,동물성이물,1
물만두,인천냉동식품,2023-01-13,합성수지류,1
비비고 왕교자,인천냉동식품,2023-01-13,합성수지류,1
스팸기획,진천)육가공,2023-01-13,합성수지류,1
비비고 한식반찬,진천BC,2023-01-13,동물성이물,1
비비고 한식반찬,진천BC,2023-01-13,동물성이물,1
백미,진천BC,2023-01-13,인체이물류,1
파우치 죽(일반),진천BC,2023-01-13,합성수지류,1
비비고 수제만두,푸드웨어,2023-01-13,식물성이물,1
미식면,남원공장,2023-01-14,합성수지류,1
잡곡,부산공장,2023-01-14,인체이물류,1
백미,부산공장,2023-01-14,기타이물류,1
수입콩두부,에스앤푸드,2023-01-14,인체이물류,1
비비고 왕교자,인천냉동식품,2023-01-14,동물성이물,1
비비고 왕교자,인천냉동식품,2023-01-14,공정이물류,1
비비고 왕교자,인천냉동식품,2023-01-14,기타이물류,1
가정용다담,논산1공장,2023-01-16,포장불량,1
과일젤리,뚜또,2023-01-16,인체이물류,1
삼호부산,씨푸드_성남,2023-01-16,포장불량,1
백설소금,영진그린식품,2023-01-16,동물성이물,1
핫도그,우양냉동(장항),2023-01-16,인체이물류,1
비비고 수제만두,인천냉동식품,2023-01-16,식물성이물,1
미트편의식,진천)육가공,2023-01-16,합성수지류,1
비비고썰은김치,진천BC,2023-01-16,합성수지류,1
고메피자(클래식),진천BC,2023-01-16,인체이물류,1
백미,진천BC,2023-01-16,인체이물류,1
비비고썰은김치,진천BC,2023-01-16,합성수지류,1
일반 국물 사골,진천BC,2023-01-16,식물성이물,1
용기면,남원공장,2023-01-17,합성수지류,1
당면,사수리풍,2023-01-17,식물성이물,1
삼호부산,씨푸드_성남,2023-01-17,포장불량,1
비비고 왕교자,인천냉동식품,2023-01-17,합성수지류,1
비비고 왕교자,인천냉동식품,2023-01-17,동물성이물,1
비비고 왕교자,인천냉동식품,2023-01-17,형태,1
손만두,인천냉동식품,2023-01-17,인체이물류,1
일반 국물 사골,진천B2B생산,2023-01-17,기타이물류,1
국산콩두부,진천)두부,2023-01-17,인체이물류,1
비비고 한식반찬,진천BC,2023-01-17,동물성이물,1
더건강한 닭가슴살,진천BC,2023-01-17,동물성이물,1
고메피자(클래식),진천BC,2023-01-17,공정이물류,1
일반 국물,논산1공장,2023-01-18,기타이물류,1
일반 한식반찬,도야지식품(제당),2023-01-18,치명,1
요거젤리,뚜또,2023-01-18,식물성이물,1
저탄수,부산공장,2023-01-18,식물성이물,1
국판삼해김,삼해상사(김포),2023-01-18,합성수지류,1
비비고 왕교자,인천냉동식품,2023-01-18,동물성이물,1
비비고 수제만두,인천냉동식품,2023-01-18,식물성이물,1
슬라이스,진천)육가공,2023-01-18,합성수지류,1
스팸일반,진천)육가공,2023-01-18,동물성이물,1
B2B적전류,진천BC,2023-01-18,공정이물류,1
PSPS,진천BC,2023-01-18,식물성이물,1
백미,진천BC,2023-01-18,기타이물류,1
백미,진천BC,2023-01-18,합성수지류,1
백미,진천BC,2023-01-18,성분,1
Plantable B2C 만두,푸드웨어,2023-01-18,식물성이물,1
과일젤리,뚜또,2023-01-19,인체이물류,1
다시다 소물,부산공장,2023-01-19,합성수지류,1
비비고 왕교자,인천냉동식품,2023-01-19,인체이물류,1
비비고 수제만두,인천냉동식품,2023-01-19,합성수지류,1
비비고 왕교자,인천냉동식품,2023-01-19,동물성이물,1
비비고 왕교자,인천냉동식품,2023-01-19,동물성이물,1
비비고 왕교자,인천냉동식품,2023-01-19,형태,1
스팸일반,진천)육가공,2023-01-19,기타이물류,1
후랑크,진천BC,2023-01-19,형태,1
일반 국물 사골,진천BC,2023-01-19,합성수지류,1
고급밀가루,양산공장,2023-01-20,기타이물류,1
비비고 수제만두,인천냉동식품,2023-01-20,합성수지류,1
비비고 왕교자,인천냉동식품,2023-01-20,합성수지류,1
비비고 수제만두,인천냉동식품,2023-01-20,합성수지류,1
슬라이스,진천)육가공,2023-01-20,포장불량,1
스팸일반,진천)육가공,2023-01-20,공정이물류,1
스팸일반,진천)육가공,2023-01-20,공정이물류,1
스팸일반,진천)육가공,2023-01-20,공정이물류,1
비엔나,진천BC,2023-01-20,동물성이물,1
비비고별미김치,진천BC,2023-01-20,인체이물류,1
더건강한 닭가슴살,진천BC,2023-01-20,동물성이물,1
치킨,진천BC,2023-01-20,동물성이물,1
더건강한 닭가슴살,진천BC,2023-01-20,동물성이물,1
치킨,진천BC,2023-01-20,공정이물류,1
일반국밥,부산공장,2023-01-22,포장불량,1
일반덮밥,부산공장,2023-01-22,포장불량,1
삼호부산,씨푸드_성남,2023-01-22,공정이물류,1
삼호부산,씨푸드_성남,2023-01-23,인체이물류,1
일반 국물 사골,논산1공장,2023-01-24,식물성이물,1
삼호부산,씨푸드_성남,2023-01-24,합성수지류,1
튀김부침용,영등포공장,2023-01-24,기타이물류,1
용기면,남원공장,2023-01-25,포장불량,1
하선정절임류,두메,2023-01-25,식물성이물,1
참치액,부산공장,2023-01-25,포장불량,1
삼호부산,씨푸드_성남,2023-01-25,공정이물류,1
백설소금,영진그린식품,2023-01-25,기타이물류,1
국판당 소물,인천1)당,2023-01-25,포장불량,1
김밥햄,진천)육가공,2023-01-25,공정이물류,1
비엔나,진천BC,2023-01-25,형태,1
쌈장가정용,공주공장,2023-01-26,식물성이물,1
일반 한식반찬,도야지식품(제당),2023-01-26,인체이물류,1
수입콩두부,동화식품,2023-01-26,합성수지류,1
프리미엄덮밥,부산공장,2023-01-26,기타,1
백미,부산공장,2023-01-26,공정이물류,1
BIG컵반(컵),부산공장,2023-01-26,인체이물류,1
백설소금,영진그린식품,2023-01-26,식물성이물,1
비비고 왕교자,인천냉동식품,2023-01-26,기타이물류,1
물만두,인천냉동식품,2023-01-26,동물성이물,1
비비고 수제만두,인천냉동식품,2023-01-26,동물성이물,1
비비고 왕교자,인천냉동식품,2023-01-26,인체이물류,1
더건강한 닭가슴살,진천)육가공,2023-01-26,합성수지류,1
B2B적전류,진천BC,2023-01-26,공정이물류,1
치킨,진천BC,2023-01-26,식물성이물,1
용기 죽,진천BC,2023-01-26,동물성이물,1
비비고 한식반찬,진천BC,2023-01-26,동물성이물,1
용기 죽,진천BC,2023-01-26,합성수지류,1
용기면,남원공장,2023-01-27,포장불량,1
용기면,남원공장,2023-01-27,포장불량,1
요거젤리,뚜또,2023-01-27,인체이물류,1
잡곡,부산공장,2023-01-27,합성수지류,1
국판삼해김,삼해상사(김포),2023-01-27,합성수지류,1
까스류,상신(2공장),2023-01-27,동물성이물,1
일반 요리당,인천1)당,2023-01-27,포장불량,1
비비고 왕교자,인천냉동식품,2023-01-27,합성수지류,1
비비고 왕교자,인천냉동식품,2023-01-27,인체이물류,1
PSPS,진천BC,2023-01-27,기타이물류,1
비엔나,진천BC,2023-01-27,합성수지류,1
비비고 한식반찬,진천BC,2023-01-27,동물성이물,1
후랑크,진천BC,2023-01-27,동물성이물,1
비비고 한식반찬,진천BC,2023-01-27,동물성이물,1
비비고 한식반찬,진천BC,2023-01-27,동물성이물,1
일반 국물,참프레(HMR),2023-01-27,합성수지류,1
비비고 수제만두,푸드웨어,2023-01-27,식물성이물,1
잡곡,부산공장,2023-01-28,인체이물류,1
삼호부산,씨푸드_성남,2023-01-28,공정이물류,1
삼호부산,씨푸드_성남,2023-01-28,식물성이물,1
비비고 왕교자,인천냉동식품,2023-01-28,인체이물류,1
백미,진천BC,2023-01-28,합성수지류,1
백미,진천BC,2023-01-28,인체이물류,1
비비고 한식반찬,진천BC,2023-01-28,공정이물류,1
까스류,진천BC,2023-01-28,합성수지류,1
비비고 수제만두,인천냉동식품,2023-01-29,합성수지류,1
김밥햄,진천)육가공,2023-01-29,공정이물류,1
백미,진천BC,2023-01-29,인체이물류,1
치킨,진천BC,2023-01-29,동물성이물,1
국판삼해김,삼해상사(부안1),2023-01-30,포장오류,1
국판삼해김,삼해상사(부안1),2023-01-30,포장불량,1
스팸기획,진천)육가공,2023-01-30,합성수지류,1
B2B 비엔나,진천BC,2023-01-30,기타,1
백미,진천BC,2023-01-30,기타이물류,1
수입콩두부,꿈꾸는콩,2023-01-31,기타이물류,1
B2B치킨류,동해식품,2023-01-31,관능,1
하선정절임류,두메,2023-01-31,인체이물류,1
참치액,부산공장,2023-01-31,포장불량,1
잡곡,부산공장,2023-01-31,공정이물류,1
국판삼해김,삼해상사(김포),2023-01-31,포장불량,1
미니소시지,신라에스지,2023-01-31,기타이물류,1
삼호어묵,씨푸드_성남,2023-01-31,식물성이물,1
비비고 왕교자,인천냉동식품,2023-01-31,합성수지류,1
군만두,인천냉동식품,2023-01-31,인체이물류,1
비비고 왕교자,인천냉동식품,2023-01-31,인체이물류,1
꼬지형,진천)육가공,2023-01-31,동물성이물,1
김밥햄,진천)육가공,2023-01-31,인체이물류,1
스팸일반,진천)육가공,2023-01-31,합성수지류,1
스팸일반,진천)육가공,2023-01-31,포장불량,1
더건강한 닭가슴살,진천BC,2023-01-31,공정이물류,1
