제품범주2,플랜트,제조일자,중분류(보정),count
B2B튀김류,C&S (제당),2021-06-14,관능,1
된장가정용,공주공장,2021-06-14,변화,1
남원B2C냉동면,남원공장,2021-06-14,식물성이물,1
비비고 죽(파우치),부산공장,2021-06-14,인체이물류,1
잡곡,부산공장,2021-06-14,인체이물류,1
일반덮밥,부산공장,2021-06-14,미생물,1
프리미엄덮밥,부산공장,2021-06-14,기타이물류,1
국판조미김,씨푸드_이천,2021-06-14,기타,1
비비고 왕교자,인천냉동식품,2021-06-14,동물성이물,1
베이컨,진천)육가공,2021-06-14,금속류,1
스팸일반,진천)육가공,2021-06-14,합성수지류,1
비엔나,진천BC,2021-06-14,동물성이물,1
비엔나,진천BC,2021-06-14,기타,1
비비고 한식반찬,진천BC,2021-06-14,동물성이물,1
비비고 수제만두,푸드웨어,2021-06-14,공정이물류,1
햇반 성형밥(OEM),한우물 영농조합,2021-06-14,합성수지류,1
된장업소용,공주공장,2021-06-15,변화,1
된장업소용,공주공장,2021-06-15,변화,1
일반 국물 사골,성보(HMR),2021-06-15,합성수지류,1
과일젤리,쌍인,2021-06-15,식물성이물,1
과일젤리,쌍인,2021-06-15,인체이물류,1
씨푸드 식재료,씨푸드_이천,2021-06-15,합성수지류,1
업소전용유,인천2)유,2021-06-15,공정이물류,1
대두유가정용,인천2)유,2021-06-15,포장불량,1
비비고 왕교자,인천냉동식품,2021-06-15,성분,1
흑삼,진안공장,2021-06-15,인체피해,1
미트편의식,진천)육가공,2021-06-15,중량수량미달,1
백미,진천BC,2021-06-15,관능,1
남원B2C냉동면,남원공장,2021-06-16,포장불량,1
초고추장가정용,논산1공장,2021-06-16,성분,1
냉면,미정식품,2021-06-16,포장불량,1
곡물 대용식 분말형,본사,2021-06-16,기타,1
백미,부산공장,2021-06-16,미생물,1
백미,부산공장,2021-06-16,미생물,1
백미,부산공장,2021-06-16,식물성이물,1
백미,부산공장,2021-06-16,변색,1
당면,사수리풍,2021-06-16,공정이물류,1
당면,사수리풍,2021-06-16,기타이물류,1
당면,사수리풍,2021-06-16,공정이물류,1
당면,사수리풍,2021-06-16,기타이물류,1
치킨류,상신(2공장),2021-06-16,기타이물류,1
까스류,상신(2공장),2021-06-16,기타이물류,1
스팸냉동밥,선양,2021-06-16,기타,1
과일젤리,쌍인,2021-06-16,포장불량,1
곡물 대용식 분말형,웰츄럴바이오,2021-06-16,합성수지류,1
비비고 왕교자,인천냉동식품,2021-06-16,합성수지류,1
수입콩두부,진천)두부,2021-06-16,형태,1
국산콩두부,진천)두부,2021-06-16,인체이물류,1
연두부류,진천)두부,2021-06-16,기타이물류,1
스팸일반,진천)육가공,2021-06-16,합성수지류,1
스팸일반,진천)육가공,2021-06-16,포장불량,1
비비고 한식반찬,진천BC,2021-06-16,동물성이물,1
후랑크,진천BC,2021-06-16,인체이물류,1
치킨류,진천BC,2021-06-16,공정이물류,1
PSPS 영양밥,진천BC,2021-06-16,합성수지류,1
비비고 한식반찬,진천BC,2021-06-16,합성수지류,1
비비고 수제만두,푸드웨어,2021-06-16,관능,1
군만두,푸르온,2021-06-16,기타이물류,1
군만두,푸르온,2021-06-16,동물성이물,1
맛간식,하북율원식품,2021-06-16,관능,1
비비고성형밥(OEM),한우물 영농조합,2021-06-16,기타이물류,1
된장가정용,공주공장,2021-06-17,변화,1
일반 국물,교동,2021-06-17,포장불량,1
냉면,남원공장,2021-06-17,합성수지류,1
남원B2C냉동면,남원공장,2021-06-17,인체이물류,1
B2B한풍소스,논산1공장,2021-06-17,성분,1
비비고별미김치,동방푸드마스타(김치),2021-06-17,벌레류,1
과일젤리,뚜또,2021-06-17,인체이물류,1
B2B) 젤리,뚜또,2021-06-17,기타이물류,1
잡곡,부산공장,2021-06-17,미생물,1
백미,부산공장,2021-06-17,식물성이물,1
국판삼해김,삼해상사(김포),2021-06-17,식물성이물,1
수입콩두부,에스앤푸드,2021-06-17,공정이물류,1
요리유,인천2)유,2021-06-17,포장불량,1
B2B교자만두,인천냉동식품,2021-06-17,식물성이물,1
비비고 왕교자,인천냉동식품,2021-06-17,형태,1
베이컨,진천)육가공,2021-06-17,포장불량,1
더건강한 닭가슴살,진천)육가공,2021-06-17,인체이물류,1
미니소시지,진천)육가공,2021-06-17,동물성이물,1
스팸일반,진천)육가공,2021-06-17,동물성이물,1
스팸일반,진천)육가공,2021-06-17,동물성이물,1
스팸일반,진천)육가공,2021-06-17,포장불량,1
까스류,진천BC,2021-06-17,공정이물류,1
비비고일반,진천BC,2021-06-17,관능,1
양식반찬,진천BC,2021-06-17,동물성이물,1
비비고 한식반찬,진천BC,2021-06-17,동물성이물,1
비비고 수제만두,푸드웨어,2021-06-17,기타이물류,1
비비고 수제만두,푸드웨어,2021-06-17,동물성이물,1
비비고성형밥(OEM),한우물 영농조합,2021-06-17,합성수지류,1
비비고성형밥(OEM),한우물 영농조합,2021-06-17,기타,1
비비고별미김치,경기농협 북파주,2021-06-18,인체이물류,1
된장업소용,공주공장,2021-06-18,변화,1
쌈장가정용,공주공장,2021-06-18,변화,1
쌈장가정용,공주공장,2021-06-18,변화,1
더비비고 국물요리,교동,2021-06-18,미생물,1
고추장가정용,논산1공장,2021-06-18,관능,1
된장가정용,논산1공장,2021-06-18,기타이물류,1
백미,부산공장,2021-06-18,인체이물류,1
백미,부산공장,2021-06-18,식물성이물,1
백미,부산공장,2021-06-18,인체이물류,1
고급밀가루,양산공장,2021-06-18,기타이물류,1
올리고당 소물,인천1)당,2021-06-18,포장불량,1
물만두,인천냉동식품,2021-06-18,기타이물류,1
비비고 왕교자,인천냉동식품,2021-06-18,합성수지류,1
더건강한 닭가슴살,진천)육가공,2021-06-18,동물성이물,1
B2B 스팸,진천)육가공,2021-06-18,포장불량,1
스팸일반,진천)육가공,2021-06-18,포장불량,1
스팸일반,진천)육가공,2021-06-18,포장불량,1
스팸일반,진천)육가공,2021-06-18,포장불량,1
스팸일반,진천)육가공,2021-06-18,포장불량,1
스팸일반,진천)육가공,2021-06-18,포장불량,1
스팸일반,진천)육가공,2021-06-18,포장불량,1
스팸일반,진천)육가공,2021-06-18,포장불량,1
스팸일반,진천)육가공,2021-06-18,포장불량,1
비비고 한식반찬,진천BC,2021-06-18,인체이물류,1
쌈장가정용,공주공장,2021-06-19,변화,1
냉면,남원공장,2021-06-19,동물성이물,1
냉면,미정식품,2021-06-19,인체이물류,1
잡곡,부산공장,2021-06-19,기타이물류,1
백미,부산공장,2021-06-19,변화,1
백미,부산공장,2021-06-19,기타이물류,1
백미,부산공장,2021-06-19,변화,1
잡곡,부산공장,2021-06-19,미생물,1
삼호안심부산,씨푸드_성남,2021-06-19,인체이물류,1
냉장 생선구이,씨푸드_성남,2021-06-19,인체이물류,1
삼호부산,씨푸드_성남,2021-06-19,공정이물류,1
비비고 왕교자,인천냉동식품,2021-06-19,합성수지류,1
비비고 왕교자,인천냉동식품,2021-06-19,공정이물류,1
B2B 신선대용식,진천B2B생산,2021-06-19,표시사항,1
스팸일반,진천)육가공,2021-06-19,포장불량,1
