rank,series_id,ews_score,level,f1_ratio,f2_conf,f3_season,f4_ampl,f5_inflect,candidate,rationale
102,남원공장|우동|기타변질,0.7255277469056802,HIGH,1.7606817772360035,0.9373687811046192,0.100271488744379,1.0,0.2635231383473649,False,증가율1.8x; 큰진폭1.00
103,씨푸드_성남|삼호부산|공정이물류,0.7243932247793695,HIGH,1.8748599756028175,0.46659820811201624,0.20872062654632495,1.0,0.33407655239053047,False,증가율1.9x; 큰진폭1.00
104,진천BC|볶음밥|기타이물류,0.7227635178200131,HIGH,1.7505058278246879,0.6327722941758005,0.14804391598457403,1.0,0.4166666666666666,False,증가율1.8x; 큰진폭1.00
105,남원공장|(냉동)중화면|합성수지류,0.7220885683117109,HIGH,1.7594689749013308,0.4832958215732812,0.31665257475326525,1.0,0.2635231383473649,False,증가율1.8x; 큰진폭1.00
106,씨푸드_성남|냉장 생선구이|향(냄새),0.7212084579499566,HIGH,1.5418644796865542,0.7857167929986334,0.042128126083622805,1.0,0.6616980261888193,False,증가율1.5x; 큰진폭1.00; 변곡위험0.66
107,공주공장|된장가정용|포장불량,0.7209794555287723,HIGH,1.7805720020363929,0.6672728026904196,0.1731975708807669,1.0,0.3140743172685037,False,증가율1.8x; 큰진폭1.00
108,진천BC|치킨|인체이물류,0.7198231267928742,HIGH,2.0933358805990028,0.6594228669521169,0.04133855661925405,1.0,0.19920476822239894,False,증가율2.1x; 큰진폭1.00
109,진천BC|까스류|합성수지류,0.7190247309634639,HIGH,1.333303057756062,0.6109764908973196,0.20239215259217827,1.0,0.7499999999999999,False,큰진폭1.00; 변곡위험0.75
110,논산1공장|일반 국물|인체이물류,0.7189387036920234,HIGH,1.838718956368566,0.5168497158403514,0.18950714854717118,1.0,0.33407655239053047,False,증가율1.8x; 큰진폭1.00
111,진천BC|백미|제품,0.7188127564142732,HIGH,1.8516988018325846,0.6369858972769598,0.16740161262246459,1.0,0.2635231383473649,False,증가율1.9x; 큰진폭1.00
112,논산1공장|가정용다담|부주의,0.7183369730172684,HIGH,1.560841059160108,0.9542639391360119,0.09898612327170561,1.0,0.4166666666666666,False,증가율1.6x; 큰진폭1.00
113,진천BC|비엔나|인체이물류,0.7180872290716469,HIGH,1.7981962570184127,0.7309774498725978,0.15365577505867226,1.0,0.2635231383473649,False,증가율1.8x; 큰진폭1.00
114,한우물 영농조합|주먹밥|곰팡이,0.7178802639443522,LOW_CONF,2.1514516479378205,0.0,0.12529978118929358,1.0,0.5,False,증가율2.2x; 큰진폭1.00; 변곡위험0.50; 낮은신뢰도0.00
115,진천)육가공|베이컨|변색,0.7144882822542202,HIGH,1.691909216387727,0.3084581724577551,0.14049598345263678,1.0,0.6884445903611023,False,증가율1.7x; 큰진폭1.00; 변곡위험0.69
116,씨푸드_성남|삼호어묵|기타이물류,0.7143013958545708,HIGH,1.875424836872713,0.5477377146832187,0.0790747931473733,1.0,0.4166666666666667,False,증가율1.9x; 큰진폭1.00
117,한국농협김치_화성|비비고별미김치|기타,0.7123828807082694,HIGH,1.8550227424300654,0.6250040736583351,0.17694726951589537,1.0,0.22271770159368698,False,증가율1.9x; 큰진폭1.00
118,청수|콩나물|기타변질,0.7099558914777822,HIGH,1.9660550612434853,0.5,0.11947726597196744,1.0,0.2795084971874737,False,증가율2.0x; 큰진폭1.00
119,논산1공장|고추장가정용|곰팡이,0.7091580447413024,HIGH,1.440158204717364,0.8057650701903974,0.22309436645312253,1.0,0.4166666666666666,False,큰진폭1.00
120,남원공장|냉면|중량수량미달,0.7083588755549807,HIGH,1.6729826539239046,0.2278450629836274,0.4004704695940376,1.0,0.34722222222222215,True,증가율1.7x; 큰진폭1.00
121,진천)B2B|일반 국물|기타변질,0.7067033610416824,HIGH,1.9877169542045396,0.5008693148931871,0.10441648432441132,1.0,0.2635231383473649,False,증가율2.0x; 큰진폭1.00
122,공주공장|된장가정용|색상,0.7058076806008997,HIGH,1.5523818555960822,0.5,0.05875560604070085,1.0,0.7635231383473648,False,증가율1.6x; 큰진폭1.00; 변곡위험0.76
123,진천)육가공|슬라이스|기타이물류,0.7048911748561312,HIGH,1.8344802195032888,0.5522263532307115,0.12373265408963201,1.0,0.3402069087198858,False,증가율1.8x; 큰진폭1.00
124,부산공장|백미|기타변질,0.7044111627832815,HIGH,0.9483131009462593,0.575548294593856,0.5995189593345502,1.0,0.4928030530229312,True,큰진폭1.00
125,두메|하선정찬류|기타,0.7041385936588965,HIGH,1.2251088553038658,0.9753383944748657,0.033704785858068145,1.0,0.7635231383473648,False,큰진폭1.00; 변곡위험0.76
126,상신(2공장_튀김)|까스류|동물성이물,0.7024058022892051,HIGH,1.6133553539929166,0.5769677064813867,0.3016164928298022,1.0,0.26352313834736496,False,증가율1.6x; 큰진폭1.00
127,뚜또|과일젤리|제품,0.700190909145642,LOW_CONF,2.3330758938252925,0.0,0.10290367570370133,1.0,0.2635231383473649,False,증가율2.3x; 큰진폭1.00; 낮은신뢰도0.00
