product_cat2,mu,sigma,p90,p95,n,use_global
가정용김치,28.634615384615383,55.1958153535608,54.599999999999994,82.34999999999982,52,False
가정용다담,95.39024390243902,70.4205294053455,179.2,241.09999999999985,123,False
건강밀가루,110.73889751552795,174.16509191903262,255.0,397.0,7,True
견과류 드레싱,110.73889751552795,174.16509191903262,255.0,397.0,2,True
결정과당,110.73889751552795,174.16509191903262,255.0,397.0,2,True
계절어보,110.73889751552795,174.16509191903262,255.0,397.0,2,True
고과당,110.73889751552795,174.16509191903262,255.0,397.0,1,True
고급맛살,110.73889751552795,174.16509191903262,255.0,397.0,14,True
고급밀가루,110.73889751552795,174.16509191903262,255.0,397.0,25,True
고메 파우치밥,110.73889751552795,174.16509191903262,255.0,397.0,14,True
고메피자(OEM),110.73889751552795,174.16509191903262,255.0,397.0,16,True
고메피자(클래식),68.76363636363637,51.9702585003677,122.60000000000004,168.39999999999998,55,False
고메피자(프리미엄),81.19298245614036,52.42285513235389,147.79999999999998,170.79999999999995,57,False
고소함가득참기름,406.4930875576037,198.33484510219384,619.0,658.0,217,False
고추장가정용,182.0648148148148,154.1682145957213,429.0,470.29999999999995,108,False
고추장업소용,110.73889751552795,174.16509191903262,255.0,397.0,17,True
곡물 대용식 분말형,110.73889751552795,174.16509191903262,255.0,397.0,4,True
곡물대용식 분말,110.73889751552795,174.16509191903262,255.0,397.0,22,True
곡물대용식 스낵,110.73889751552795,174.16509191903262,255.0,397.0,12,True
과일류 드레싱(미사용),110.73889751552795,174.16509191903262,255.0,397.0,3,True
과일젤리,53.995633187772924,33.39566922954277,93.0,113.6,229,False
교자만두,110.73889751552795,174.16509191903262,255.0,397.0,1,True
국물내기 티백,110.73889751552795,174.16509191903262,255.0,397.0,1,True
국산콩두부,10.727272727272727,5.666342560817244,18.700000000000003,22.400000000000006,44,False
국수,110.73889751552795,174.16509191903262,255.0,397.0,25,True
국판 씨푸드김,74.96428571428571,56.91540222298426,142.80000000000007,206.24999999999991,140,False
국판당 대물,110.73889751552795,174.16509191903262,255.0,397.0,14,True
국판당 소물,648.925,2095.015088101993,637.5000000000008,1559.2999999999768,40,False
국판당 실수요용,110.73889751552795,174.16509191903262,255.0,397.0,1,True
국판삼해김,71.14337568058076,48.33157695432182,140.0,166.5,551,False
국판조미김,79.03225806451613,74.13023819298868,161.0,204.0,341,False
군만두,87.62411347517731,85.88930192112265,175.0,238.0,141,False
굴소스,110.73889751552795,174.16509191903262,255.0,397.0,24,True
그레인수프,110.73889751552795,174.16509191903262,255.0,397.0,5,True
글로벌미식면,110.73889751552795,174.16509191903262,255.0,397.0,19,True
기초영양,110.73889751552795,174.16509191903262,255.0,397.0,15,True
기타,110.73889751552795,174.16509191903262,255.0,397.0,1,True
기타만두,110.73889751552795,174.16509191903262,255.0,397.0,4,True
김 기타,110.73889751552795,174.16509191903262,255.0,397.0,1,True
김단독,110.73889751552795,174.16509191903262,255.0,397.0,8,True
김밥햄,20.976744186046513,10.540041860587241,35.0,38.9,43,False
김스낵,110.73889751552795,174.16509191903262,255.0,397.0,7,True
